idVisualisasi,linkVisualisasi,idProgram
1,"<iframe src=""http://localhost:3000/public/dashboard/e0e8857c-e928-4ee0-bc03-ae03694d1f3d"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",1
2,"<iframe src=""http://localhost:3000/public/dashboard/2074c73d-c992-4217-95bf-6d33bede367e"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",2
3,"<iframe src=""http://localhost:3000/public/dashboard/715de4a7-c3c2-4688-b49d-d5adafa60adc"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",3
4,"<iframe src=""http://localhost:3000/public/dashboard/ff049092-a182-4d6f-8424-75a1d661b105"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",4
5,"<iframe src=""http://localhost:3000/public/dashboard/9fd9000d-f4c9-4eb0-b1fb-499f2535a41c"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",5
6,"<iframe src=""http://localhost:3000/public/dashboard/09379f50-cff6-4c1a-b2ec-b2b120d5e7b9"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",6
7,"<iframe src=""http://localhost:3000/public/dashboard/0c335809-013c-4c88-80f0-48fb48a1df5a"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",7
8,"<iframe src=""http://localhost:3000/public/dashboard/c948c96d-1086-4c58-8a7f-4baed9703cdc"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",8
9,"<iframe src=""http://localhost:3000/public/dashboard/a66d3fd6-f811-4e28-8076-2b572b04e09c"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",9
10,"<iframe src=""http://localhost:3000/public/dashboard/35263baf-a108-4bd5-8349-51b5e8c1f170"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",10
11,"<iframe src=""http://localhost:3000/public/dashboard/b1c01081-9a18-4b05-be60-148095bcd95a"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",11
12,"<iframe src=""http://localhost:3000/public/dashboard/64773978-627d-4fe0-92cc-5861dd47de3b"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",12
13,"<iframe src=""http://localhost:3000/public/dashboard/9996d7b5-f51c-44ef-9a94-75088d28124a"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",13
14,"<iframe src=""http://localhost:3000/public/dashboard/ba97b215-fa94-4ba9-b3a9-b8ab8534feae"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",14
15,"<iframe src=""http://localhost:3000/public/dashboard/64f9b44f-f58a-4b65-95d2-c4b7e0a570c8"" frameborder=""0"" width=""1200"" height=""700"" allowtransparency></iframe>",15
